journals/arscom/XuL12,article,A Note on Set Families and Codes.,,2012,105,293-298,,db/journals/arscom/arscom105.html#XuL12,Ars Comb.,
conf/icic/LiuYX12,inproceedings,Improved PageRank Algorithm Based on the Residence Time of the Website.,ICIC (2),2012,,601-607,,db/conf/icic/icic2012-2.html#LiuYX12,,
conf/broadnets/ZhangWZZ06,inproceedings,Power control for interference mitigation between coexisting UWB systems.,BROADNETS,2006,,,,db/conf/broadnets/broadnets2006.html#ZhangWZZ06,,
conf/icvs/OldridgeMF09,inproceedings,Automatic Classification of Image Registration Problems.,ICVS,2009,,215-224,,db/conf/icvs/icvs2009.html#OldridgeMF09,,
journals/jsac/WangC96,article,Quality-of-Service Routing for Supporting Multimedia Applications.,,1996,14,1228-1234,,db/journals/jsac/jsac14.html#WangC96,IEEE Journal on Selected Areas in Communications,
conf/vmv/WeiskopfEHE02,inproceedings,Hardware-Accelerated Langrangian-Eulerian Texture Advection for 2D Flow.,VMV,2002,,77-84,,db/conf/vmv/vmv2002.html#WeiskopfEHE02,,
conf/codes/LimB03,inproceedings,Design space exploration of a hardware-software co-designed GF(2<sup>m</sup>) galois field processor for forward error correction and cryptography.,CODES+ISSS,2003,,53-58,,db/conf/codes/codes2003.html#LimB03,,
conf/smc/TangZW07,inproceedings,TCM masters miner for knowledge transfer.,SMC,2007,,3541-3546,,db/conf/smc/smc2007.html#TangZW07,,
conf/fskd/WangLLY10,inproceedings,Cooperation strategy for robot soccer based on defuzzification.,FSKD,2010,,659-664,,db/conf/fskd/fskd2010.html#WangLLY10,,
conf/afrigraph/SinghB04,inproceedings,Visualizing 3D scenes using non-linear projections and data mining of previous camera movements.,Afrigraph,2004,,41-48,,db/conf/afrigraph/afrigraph2004.html#SinghB04,,
conf/ivic/YusoffZ09,inproceedings,Mixed Reality Book: A Visualization Tool.,IVIC,2009,,326-336,,db/conf/ivic/ivic2009.html#YusoffZ09,,
conf/cec/PopC14,inproceedings,A hybrid approach based on genetic algorithms for solving the Clustered Vehicle Routing Problem.,IEEE Congress on Evolutionary Computation,2014,,1421-1426,,db/conf/cec/cec2014.html#PopC14,,
conf/bpm/Sanchez-GarzonFC12,inproceedings,An Approach for Representing and Managing Medical Exceptions in Care Pathways Based on Temporal Hierarchical Planning Techniques.,ProHealth/KR4HC,2012,,168-182,,db/conf/bpm/kr4hc2012.html#Sanchez-GarzonFC12,,
conf/cp/BessiereMFL99,inproceedings,On Forward Checking for Non-binary Constraint Satisfaction.,CP,1999,,88-102,,db/conf/cp/cp99.html#BessiereMFL99,,
conf/icip/ZhangG07,inproceedings,Hilbert Transform Pairs of Orthonormal Symmetric Wavelet Bases using Allpass Filters.,ICIP (1),2007,,425-428,,db/conf/icip/icip2007-1.html#ZhangG07,,
conf/eusipco/ZhangL12a,inproceedings,A class of robust adaptive beamforming algorithms for coherent interference suppression.,EUSIPCO,2012,,1349-1353,,db/conf/eusipco/eusipco2012.html#ZhangL12a,,
journals/ejasp/WuC07,article,Collaborative Image Coding and Transmission over Wireless Sensor Networks.,,2007,2007,,,db/journals/ejasp/ejasp2007.html#WuC07,EURASIP J. Adv. Sig. Proc.,
