conf/edbt/KusumiNH90,conf/vldb/Lu87
conf/adbis/CostalSOBPQR97,journals/tods/FraternaliT95
books/aw/AbiteboulHV95,journals/tods/AstrahanBCEGGKLMMPTWW76
conf/dbpl/LacroixG95,conf/pods/KanellakisRVV93
conf/edbt/MorsiNS94,conf/ecoop/DelcourtZ91
conf/adbis/Saheb97,books/mk/GrayR93
conf/dasfaa/MakW95,conf/sigmod/ChrysanthisRR91
books/crc/CRCcompiler2002/Duesterwald02,conf/micro/BallL96
conf/edbt/Han92,conf/pods/BancilhonMSU86
conf/adbis/KopeckyP97,books/ph/RumbaughBPEL91
conf/edbt/MiloW88,conf/pods/SegallW87
books/crc/CRCcompiler2002/Khedker02,conf/pldi/Deutsch94
conf/edbt/AkindeJB98,conf/sigmod/HullZ96
conf/dolap/UchiyamaRT99,conf/vldb/ShuklaDNR96
conf/adbis/Tseytin94,journals/cacm/Press94
conf/adbis/EmbleyLN96,books/mk/Cattell94
conf/dasfaa/SuHP93,conf/vldb/AlashqurSL89
conf/adbis/Eder95,conf/slp/ChenKW89
books/sp/patton99/Baralis99,conf/rules/BaralisCP95
conf/er/Al-JadirL98,conf/dood/BertinoJ93
conf/edbt/BertinoH88,journals/computer/DenningS83
conf/cikm/VilesF95,conf/sigir/Persin94
conf/coopis/GillmannMW00,journals/ife/BauerD99
conf/dasfaa/LuT95,conf/sigmetrics/WolfTCY94
conf/coopis/TammG00,conf/sigecom/JacobsenG99
conf/edbt/CiacciaPZ98,conf/ssd/HenrichM95
conf/dasfaa/LuanOKF89,journals/tois/FishmanBCCCDDHKLMNRS87
conf/dasfaa/ZhaoCPS93,conf/sigmod/StonebrakerR86
conf/edbt/AgrawalBS00,conf/sigir/CuttingPKT92
conf/dasfaa/TreschS93,journals/csur/BatiniL86
conf/dbpl/MatthesS89,conf/dbpl/AlbanoDGMMOS89
conf/edbt/BarbardG92,journals/tods/AlonsoBG90
conf/dasfaa/KimHL99,books/aw/AbiteboulHV95
conf/er/CuceZ98,journals/tods/AlonsoBG90
conf/cikm/Teuhola95,journals/tods/FaginNPS79
conf/edbt/ConnorDMB90,conf/dbpl/BancilhonCD89
conf/cikm/Paradis95,conf/sigir/ChiaramellaDBK86
conf/dasfaa/ThoneGK95,conf/sigmod/GuntzerKT91
conf/er/DCunhaR83,conf/jcdkb/Anderson82
conf/edbt/GrayMP88,journals/cj/MoffatG88
conf/edbt/FormicaM94,conf/vldb/LecluseR89
conf/dasfaa/KimK93,conf/vldb/Motro89
conf/dasfaa/Masunaga97,conf/mm/HamakawaR93
conf/er/Al-Fedaghi83,conf/er/HsuR79
conf/edbt/GrayMP88,conf/oodbs/Dittrich86
conf/dasfaa/ParkH97,books/aw/BernsteinHG87
conf/dasfaa/NishioNM89,conf/pods/BeeriKBR87
conf/dasfaa/NguYW93,journals/csur/LitwinMR90
conf/edbt/FukudaM98,conf/vldb/AgarwalADGNRS96
conf/dbpl/Ohori87,journals/jcss/Smyth78
conf/adbis/NekrestyanovNP98,conf/adbis/NekrestyanovNPP97
conf/edbt/GerlhofK94,conf/sigmod/KellerGM91
conf/edbt/MoerkotteZ92,conf/oopsla/Stein87
conf/dbpl/MathiskeMS95,conf/ngits/MathiskeMS95
conf/dasfaa/LuanOKF89,conf/vdb/JiangKOSF89
conf/dasfaa/ZhaoCPS93,journals/spe/KimKS88
conf/dbpl/ZhuM89,conf/fpca/Kieburtz85
conf/dbpl/GrumbachRSS97,books/mk/Cattell94
conf/edbt/BerckenSS00,conf/vldb/ArgePRSV98
books/sp/patton99/Baralis99,conf/fmldo/KaradimceU91
conf/edbt/ScheuermannC94,conf/dpds/Chen90
conf/edbt/MohanN92,journals/is/Harder88
conf/er/DumpalaA81,conf/isca/AroraDS81
conf/dasfaa/CheineyKM93,conf/vldb/GardarinCKPS89
conf/adbis/UrtadoO96,conf/oopsla/Rumbaugh88
conf/edbt/HanQC88,journals/tods/Babb79
conf/edbt/Al-MarriG98,conf/pods/NerjesMW97
conf/er/CarswellN86,conf/vldb/NavatheG82
conf/edbt/AgrawalA92,journals/cacm/EswarranGLT76
conf/er/AkokaCL99,journals/cacm/PremerlaniB94
conf/dasfaa/OngATUW95,journals/debu/Tsur90
conf/coopis/KatchaounovJR00,journals/vldb/FahlR97
conf/cikm/StranieriZ95,conf/icail/ZeleznikowS95
conf/dasfaa/Chan91,journals/tse/MalhotraMTPB89
conf/edbt/Kalinichenko90,conf/vldb/Kalinichenko78
conf/edbt/PanagopoulosF94,conf/pdis/Lin91
conf/edbt/AtzeniMM98,conf/edbt/FraternaliP98
conf/dbpl/Alagic97,conf/popl/Bruce93
conf/adbis/MatysiakMC98,journals/csur/BatiniL86
conf/adbis/Kakemoto95,journals/ml/DejongM86
conf/cikm/LiuP95,conf/ride/CareyHSACFFLNPTWW95
conf/edbt/ChungB88,conf/icde/DuGMS87
conf/dasfaa/TamuraK97,conf/vldb/KitsuregawaNT89
conf/er/Dupont94,conf/oopsla/CarreG90
conf/er/Baumann89,journals/tods/Chen76
conf/dbpl/AlbanoDG95,journals/iandc/Cardelli88
conf/er/Castilho93,books/bc/BatiniCN92
conf/er/CastanoA94,journals/cj/FeldmanM86
conf/adbis/Pulido96,conf/pods/ChenW93
conf/edbt/PucheralT92,conf/sigmod/DeWittKOSSW84
conf/coopis/TrajcevskiBL00,conf/pods/Bonner99
conf/adbis/Frank99,journals/toplas/Castagna95
conf/edbt/ChaudhuriS96,conf/sigmod/SelingerACLP79
conf/cikm/BuvacF95,conf/ijcai/McCarthy93
conf/edbt/WangYW00,conf/icdt/BunemanDFS97
conf/adbis/MedjahedF99,books/mit/PF91/Piatetsky91
conf/adbis/Zadorozhny99,journals/jlp/RamakrishnanU95
conf/dbpl/LibkinW97a,journals/iandc/DongS95
conf/dasfaa/OhLK93,journals/ai/Kuipers86
conf/edbt/FlescaG00,conf/pods/ConsensM90
conf/dasfaa/DengC91,journals/tois/StottsF89
conf/dasfaa/ChoK93,conf/vldb/TuzhilinC90
conf/ssdbm/ThomasH83,conf/ssdbm/Thomas81
conf/er/CastanoA94,journals/tosem/BatoryO92
conf/edbt/CauvetPR88,conf/vldb/MylopoulosW80
conf/dbpl/LanzelotteC91,conf/icdt/BeeriK90
conf/dbpl/Atkinson89,conf/dbpl/AlbanoDGMMOS89
conf/dbpl/LibkinW93a,conf/lfp/JategaonkarM88
conf/er/CardenasW85,journals/is/CardenasP80
conf/adbis/ChudziakG95,conf/oodbs/92
conf/dbpl/BonnerM97,books/mk/Cattell94
conf/dasfaa/CheineyO95,conf/ssd/Egenhofer91
conf/dbpl/TannenBN91,conf/vldb/BancilhonBKV87
conf/adbis/Novikov94,journals/tois/FaloutsosC84
conf/edbt/DeshpandeN00,conf/vldb/DarFJST96
conf/dasfaa/Ramamohanarao91,conf/sigmod/NaughtonRSU89
conf/adbis/FlodinOR98,conf/dood/AtkinsonBDDMZ89
